what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1333825351339
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1333825351339
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1333825351339
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1333825351339
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1333825351339
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1333825351339
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1333825351340
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1333825351340
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1333825351340
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1333825351340
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1333825351340
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1333825351340
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1333825351340
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1333825351340
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333825351341
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1333825351341
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333825351341
started,bundle,it.baeyens.avreclipse.core,1.0.6,"it.baeyens.avreclipse.core",1333825351341
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1333825351341
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1333825351341
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1333825351341
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1333825351341
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1333825351341
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1333825351341
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1333825351341
started,bundle,it.baeyens.arduino.common,1.1.0.6,"it.baeyens.arduino.common",1333825351342
os,sysinfo,,,"win32",1333825351346
arch,sysinfo,,,"x86",1333825351347
ws,sysinfo,,,"win32",1333825351347
locale,sysinfo,,,"en_US",1333825351347
processors,sysinfo,,,"2",1333825351347
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333825351347
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1333825351347
java.specification.name,sysinfo,,,"Java Platform API Specification",1333825351347
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333825351347
java.specification.version,sysinfo,,,"1.6",1333825351347
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333825351347
java.version,sysinfo,,,"1.6.0_31",1333825351347
java.vm.info,sysinfo,,,"mixed mode, sharing",1333825351347
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333825351347
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333825351347
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333825351347
java.vm.specification.version,sysinfo,,,"1.0",1333825351347
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333825351347
java.vm.version,sysinfo,,,"20.6-b01",1333825351347
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1333825351427
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1333825351449
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1333825351484
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1333825351752
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1333825353061
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333825358338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825368580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825372613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825372642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825373290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825380047
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333825384503
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1333825384520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825385266
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1333825385277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1333825385277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825390548
started,bundle,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.ui",1333825393478
started,bundle,it.baeyens.arduino.core,1.1.1,"it.baeyens.arduino.core",1333825396348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825418167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1333825418176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825427080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825449577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825455876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825464434
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333825471018
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333825471140
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333825475976
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333825530363
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1333825534138
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333825534201
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333825534273
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333825536536
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333825536536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1333825536565
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333825538291
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333825554640
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333825586176
opened,view,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1333825614381
opened,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.GenericHistoryView",1333825614432
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.svnPerspective",1333825614448
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333825614477
activated,view,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1333825617224
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1333825617238
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1333825617244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825629858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825633779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333825633844
