what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1334113392954
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1334113396207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334113407197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334113537378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334113547128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334113548688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334113550029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334113554943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334113558079
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1334113575395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334113575696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334113586383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334113589644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334114136331
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1334114142056
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1334114145878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334114146206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334114149560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334114156642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334114209947
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.commit",1334114209963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334114210525
